id,center_x,center_y,center_z,dG_separated,dSASA,sc_value,L_RMSD_to_nearest_leader,dist_to_nearest_leader,drop_reason
16075,-63.3,3.16,-9.71,-9.026969243089297,620.0371063146423,0.5322291254997253,16.12,3.62,cap_full_no_match
39512,-65.62,2.26,-0.52,-8.95758141562419,663.7604586600545,0.5032142996788025,14.76,0.98,cap_full_no_match
295,-66.59,0.04,4.43,-8.912644921310402,559.4475514245632,0.6887029409408569,15.84,0.87,cap_full_no_match
15042,-78.07,0.82,-7.65,-8.910295079185744,785.0196286322566,0.5024402737617493,18.55,1.56,cap_full_no_match
42842,-64.45,1.19,-5.27,-8.836673774425435,872.8094728110423,0.5998846888542175,17.15,2.99,cap_full_no_match
34906,-66.0,2.3,-12.4,-8.699061775844257,706.3783117002348,0.5772426128387451,9.29,1.13,cap_full_no_match
18148,-65.68,1.28,0.51,-8.677562797513929,555.824077243007,0.5836507678031921,17.59,0.83,cap_full_no_match
19014,-64.25,-4.88,8.16,-8.207695484991746,564.4719277050153,0.6738377809524536,17.5,2.81,cap_full_no_match
9466,-67.77,-0.21,5.05,-8.124234922654523,560.9085549058793,0.6223030090332031,14.48,1.34,cap_full_no_match
2892,-63.46,0.34,4.15,-8.117378669739537,797.2860042977643,0.5654423236846924,10.37,1.19,cap_full_no_match
3827,-68.09,-0.46,-4.59,-8.111221632314482,513.0629443067666,0.5881313681602478,11.93,1.39,cap_full_no_match
28523,-69.4,-1.49,-6.45,-8.019046715959576,548.2347728508429,0.6210105419158936,15.27,2.22,cap_full_no_match
2066,-66.44,-1.05,-10.91,-7.947798084155693,700.0771921653637,0.6213705539703369,12.19,1.35,cap_full_no_match
44330,-65.86,1.75,-0.7,-7.940091582771402,595.9832035172045,0.569263219833374,13.19,0.61,cap_full_no_match
20774,-66.92,-1.36,-6.59,-7.926375703823396,625.5178978300195,0.5265551805496216,14.79,0.82,cap_full_no_match
36740,-69.12,-0.58,-6.23,-7.873704340921449,706.8478440541159,0.6091666221618652,17.74,2.56,cap_full_no_match
10267,-68.52,-0.76,-14.5,-7.84686815713485,734.2257147764485,0.5228817462921143,11.39,1.7,cap_full_no_match
48193,-65.5,-0.4,-13.32,-7.8434557176483395,738.3547759357219,0.5051227807998657,12.48,0.88,cap_full_no_match
24154,-77.12,-0.48,-9.33,-7.837202087779133,660.9196676852819,0.5686720609664917,8.68,1.66,cap_full_no_match
10624,-70.0,-6.49,-0.41,-7.832401683105672,464.735126384894,0.6310185194015503,14.99,2.75,cap_full_no_match
