receptor_id,pocket_id,pocket_exists_frac,centroid_std_A,affinity_mean,affinity_std,affinity_iqr,n_pose_mean,n_pose_std,n_replicates
3GT8_cl38_48,P001,0.86,0.8115,-9.04,0.2982,0.307,5.54,2.53,200
3GT8_cl38_48,P002,1.0,0.7205,-8.8593,0.3208,0.345,127.53,10.13,200
3GT8_cl38_48,P003,0.71,1.1811,-8.7635,0.1558,0.059,53.83,7.18,200
3GT8_cl38_48,P004,0.635,1.3172,-8.1379,0.0992,0.149,18.8,4.95,200
3GT8_cl38_48,P005,0.605,2.1283,-8.2797,0.661,1.165,16.75,10.58,200
3GT8_cl38_48,P009,0.865,1.0799,-7.4874,0.0783,0.034,9.08,2.83,200
3GT8_cl38_48,P011,0.465,0.1596,-7.3669,0.0431,0.0,2.67,0.95,200
3GT8_cl85_100,P001,0.99,1.9005,-9.1126,0.1264,0.056,151.12,22.19,200
3GT8_cl85_100,P003,0.93,1.3983,-8.7583,0.1521,0.197,41.78,5.5,200
3GT8_cl85_100,P005,0.675,1.7459,-8.3335,0.0944,0.118,12.73,3.48,200
3GT8_cl85_100,P007,1.0,0.2315,-8.1388,0.088,0.116,19.28,4.23,200
3GT8_raw,P001,0.995,0.1983,-8.3061,0.1637,0.285,119.04,7.97,200
3GT8_raw,P002,0.995,0.1836,-8.1455,0.144,0.184,102.54,7.38,200
3GT8_raw,P004,0.87,1.2306,-7.7325,0.1328,0.139,4.11,1.56,200
3GT8_raw,P005,0.855,0.7005,-7.5782,0.2771,0.089,3.74,1.58,200
3GT8_raw,P007,0.04,2.4676,-7.3569,0.1493,0.295,9,2.0,200
3GT8_raw,P008,0.34,1.5312,-7.4183,0.0554,0.127,2.9,0.92,200
3GT8_raw,P010,0.645,1.0473,-7.2108,0.0984,0.198,3.24,1.26,200
