job_id,receptor_id,pocket_id,ligand_id,seed_index,center_x,center_y,center_z,box_size_x,box_size_y,box_size_z,exhaustiveness,n_poses,docking_mode,receptor_pdb,ligand_file,output_dir,output_prefix,docking_priority,relationship_class,overall_druggability_tier
3GT8_raw__3GT8_raw_PKT01__173940__seed1,3GT8_raw,3GT8_raw_PKT01,173940,1,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/173940_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/173940,3GT8_raw_PKT01_173940_seed1,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__173940__seed2,3GT8_raw,3GT8_raw_PKT01,173940,2,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/173940_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/173940,3GT8_raw_PKT01_173940_seed2,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__173940__seed3,3GT8_raw,3GT8_raw_PKT01,173940,3,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/173940_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/173940,3GT8_raw_PKT01_173940_seed3,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__97806__seed1,3GT8_raw,3GT8_raw_PKT01,97806,1,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/97806_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/97806,3GT8_raw_PKT01_97806_seed1,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__97806__seed2,3GT8_raw,3GT8_raw_PKT01,97806,2,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/97806_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/97806,3GT8_raw_PKT01_97806_seed2,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__97806__seed3,3GT8_raw,3GT8_raw_PKT01,97806,3,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/97806_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/97806,3GT8_raw_PKT01_97806_seed3,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__VAX-C12_0__seed1,3GT8_raw,3GT8_raw_PKT01,VAX-C12_0,1,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/VAX-C12_0_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/VAX-C12_0,3GT8_raw_PKT01_VAX-C12_0_seed1,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__VAX-C12_0__seed2,3GT8_raw,3GT8_raw_PKT01,VAX-C12_0,2,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/VAX-C12_0_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/VAX-C12_0,3GT8_raw_PKT01_VAX-C12_0_seed2,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT01__VAX-C12_0__seed3,3GT8_raw,3GT8_raw_PKT01,VAX-C12_0,3,44.454,32.261,18.584,14.4,13.7,13.2,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/VAX-C12_0_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT01/VAX-C12_0,3GT8_raw_PKT01_VAX-C12_0_seed3,primary,orthosteric_candidate,tier_1
3GT8_raw__3GT8_raw_PKT02__173940__seed1,3GT8_raw,3GT8_raw_PKT02,173940,1,28.490,45.493,12.601,11.2,11.6,12.3,32,20,focused,/home/user/codex_ligand/input/receptors/3GT8_raw.pdb,/home/user/codex_ligand/input/ligands/173940_ligand.sdf,/home/user/codex_ligand/output/phase3_docking/runs/3GT8_raw/3GT8_raw_PKT02/173940,3GT8_raw_PKT02_173940_seed1,primary,orthosteric_candidate,tier_2
