receptor_id,ligand_id,pose_rank,affinity,rmsd_lb,rmsd_ub,centroid_x,centroid_y,centroid_z,raw_pose_file,pocket_id,contact_residues,n_contact_residues,candidate_pocket_id,round_id,seed,docking_mode,job_id
3GT8_raw,173940,,,,,,,,,,,,3GT8_raw_PKT01,1,1,focused,3GT8_raw__3GT8_raw_PKT01__173940__seed1
3GT8_raw,173940,,,,,,,,,,,,3GT8_raw_PKT01,2,2,focused,3GT8_raw__3GT8_raw_PKT01__173940__seed2
3GT8_raw,173940,,,,,,,,,,,,3GT8_raw_PKT01,3,3,focused,3GT8_raw__3GT8_raw_PKT01__173940__seed3
3GT8_raw,97806,,,,,,,,,,,,3GT8_raw_PKT01,1,1,focused,3GT8_raw__3GT8_raw_PKT01__97806__seed1
3GT8_raw,97806,,,,,,,,,,,,3GT8_raw_PKT01,2,2,focused,3GT8_raw__3GT8_raw_PKT01__97806__seed2
3GT8_raw,97806,,,,,,,,,,,,3GT8_raw_PKT01,3,3,focused,3GT8_raw__3GT8_raw_PKT01__97806__seed3
3GT8_raw,VAX-C12_0,,,,,,,,,,,,3GT8_raw_PKT01,1,1,focused,3GT8_raw__3GT8_raw_PKT01__VAX-C12_0__seed1
3GT8_raw,VAX-C12_0,,,,,,,,,,,,3GT8_raw_PKT01,2,2,focused,3GT8_raw__3GT8_raw_PKT01__VAX-C12_0__seed2
3GT8_raw,VAX-C12_0,,,,,,,,,,,,3GT8_raw_PKT01,3,3,focused,3GT8_raw__3GT8_raw_PKT01__VAX-C12_0__seed3
3GT8_raw,173940,,,,,,,,,,,,3GT8_raw_PKT02,1,1,focused,3GT8_raw__3GT8_raw_PKT02__173940__seed1
3GT8_raw,173940,,,,,,,,,,,,3GT8_raw_PKT02,2,2,focused,3GT8_raw__3GT8_raw_PKT02__173940__seed2
3GT8_raw,173940,,,,,,,,,,,,3GT8_raw_PKT02,3,3,focused,3GT8_raw__3GT8_raw_PKT02__173940__seed3
3GT8_raw,97806,,,,,,,,,,,,3GT8_raw_PKT02,1,1,focused,3GT8_raw__3GT8_raw_PKT02__97806__seed1
3GT8_raw,97806,,,,,,,,,,,,3GT8_raw_PKT02,2,2,focused,3GT8_raw__3GT8_raw_PKT02__97806__seed2
3GT8_raw,97806,,,,,,,,,,,,3GT8_raw_PKT02,3,3,focused,3GT8_raw__3GT8_raw_PKT02__97806__seed3
3GT8_raw,VAX-C12_0,,,,,,,,,,,,3GT8_raw_PKT02,1,1,focused,3GT8_raw__3GT8_raw_PKT02__VAX-C12_0__seed1
3GT8_raw,VAX-C12_0,,,,,,,,,,,,3GT8_raw_PKT02,2,2,focused,3GT8_raw__3GT8_raw_PKT02__VAX-C12_0__seed2
3GT8_raw,VAX-C12_0,,,,,,,,,,,,3GT8_raw_PKT02,3,3,focused,3GT8_raw__3GT8_raw_PKT02__VAX-C12_0__seed3
