receptor_id,pocket_id_a,pocket_id_b,centroid_dist_A,residue_jaccard,merge_decision,merge_reason
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P02,37.31,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P03,18.23,0.032,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P04,30.91,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P05,37.94,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P06,36.98,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P07,46.09,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P08,42.76,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P09,15.68,0.089,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P10,35.37,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P11,33.19,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P12,15.54,0.900,merged,jaccard=0.900 >= 0.3
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P13,33.18,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P14,23.61,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P15,20.33,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P16,33.57,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P17,28.88,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P18,36.96,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P19,19.85,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P20,23.78,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P21,19.22,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P22,39.63,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P23,33.30,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P24,40.44,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P25,34.55,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P26,47.81,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P27,18.04,0.034,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P01,3GT8_raw_fpocket_P28,21.67,0.071,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P03,47.77,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P04,62.55,0.667,merged,jaccard=0.667 >= 0.3
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P05,24.28,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P06,73.61,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P07,13.46,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P08,20.31,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P09,51.96,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P10,63.88,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P11,46.46,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P12,30.66,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P13,28.13,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P14,51.47,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P15,48.09,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P16,37.60,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P17,56.31,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P18,35.22,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P19,54.40,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P20,51.95,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P21,29.98,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P22,14.86,0.105,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P23,6.35,0.188,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P24,40.74,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P25,24.20,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P26,20.09,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P27,47.31,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P02,3GT8_raw_fpocket_P28,31.42,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P04,19.78,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P05,41.43,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P06,29.01,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P07,54.82,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P08,53.46,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P09,21.49,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P10,17.64,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P11,26.34,0.000,kept_separate,no_overlap
3GT8_raw,3GT8_raw_fpocket_P03,3GT8_raw_fpocket_P12,18.09,0.032,kept_separate,no_overlap
