receptor_id,pocket_id,fpocket_support,fpocket_score,fpocket_druggability,p2rank_support,p2rank_score,p2rank_probability,n_tools_supporting,consensus_pocket,ftmap_support,ftmap_hotspot_count
3GT8_raw,3GT8_raw_PKT01,true,-0.07,0.01,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT02,true,0.029,0.027,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT03,true,0.03,0.002,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT04,true,0.021,0.004,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT05,true,-0.034,0.039,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT06,true,-0.025,,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT07,true,-0.394,0.96,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT08,true,-0.057,,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT09,true,-0.064,0.001,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT10,true,-0.088,,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT11,true,-0.093,0.003,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT12,true,-0.076,0.005,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT13,true,-0.077,,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT14,true,-0.083,0.001,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT15,true,-0.083,,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT16,true,-0.088,,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT17,true,-0.105,,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT18,true,-0.112,0.002,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT19,true,-0.128,0.001,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT20,true,-0.145,0.001,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT21,true,-0.157,0.001,false,,,1,false,false,
3GT8_raw,3GT8_raw_PKT22,true,-0.386,0.003,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT01,true,0.193,0.124,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT02,true,-0.174,0.003,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT03,true,-0.11,0.027,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT04,true,-0.262,0.007,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT05,true,-0.137,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT06,true,0.045,0.001,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT07,true,0.044,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT08,true,0.04,0.001,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT09,true,0.038,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT10,true,-0.081,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT11,true,0.013,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT12,true,-0.069,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT13,true,-0.201,0.001,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT14,true,0.004,0.003,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT15,true,-0.062,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT16,true,-0.022,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT17,true,-0.011,0.001,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT18,true,-0.013,0.002,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT19,true,-0.332,0.042,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT20,true,-0.022,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT21,true,-0.023,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT22,true,-0.03,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT23,true,-0.037,0.001,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT24,true,-0.125,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT25,true,-0.121,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT26,true,-0.058,0.001,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT27,true,-0.229,0.098,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT28,true,-0.069,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT29,true,-0.161,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT30,true,-0.088,0.002,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT31,true,-0.089,0.006,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT32,true,-0.09,,false,,,1,false,false,
EGFR_160-185,EGFR_160-185_PKT33,true,-0.094,0.004,false,,,1,false,false,
