pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
3GT8_raw_PKT07,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.2798,0.6835,0.6297,0.65,0.0839,0.1709,0.1889,0.0975,0.5412,1
3GT8_raw_PKT07,3GT8_raw,97806,interface_rim_modulator_candidate,low,0.2798,0.6835,0.6297,0.65,0.0839,0.1709,0.1889,0.0975,0.5412,2
3GT8_raw_PKT07,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,low,0.2798,0.6835,0.6297,0.65,0.0839,0.1709,0.1889,0.0975,0.5412,3
EGFR_170-200_PKT34,EGFR_170-200,173940,allosteric_modulator_candidate,medium,0.253,0.6448,0.525,0.65,0.0759,0.1612,0.1575,0.0975,0.4921,4
EGFR_170-200_PKT34,EGFR_170-200,97806,allosteric_modulator_candidate,medium,0.253,0.6448,0.525,0.65,0.0759,0.1612,0.1575,0.0975,0.4921,5
EGFR_170-200_PKT34,EGFR_170-200,VAX-C12_0,allosteric_modulator_candidate,medium,0.253,0.6448,0.525,0.65,0.0759,0.1612,0.1575,0.0975,0.4921,6
EGFR_160-185_PKT02,EGFR_160-185,173940,interface_rim_modulator_candidate,medium,0.3102,0.1952,0.6444,0.65,0.0931,0.0488,0.1933,0.0975,0.4327,7
EGFR_160-185_PKT02,EGFR_160-185,97806,interface_rim_modulator_candidate,medium,0.3102,0.1952,0.6444,0.65,0.0931,0.0488,0.1933,0.0975,0.4327,8
EGFR_160-185_PKT02,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3102,0.1952,0.6444,0.65,0.0931,0.0488,0.1933,0.0975,0.4327,9
3GT8_raw_PKT10,3GT8_raw,173940,allosteric_modulator_candidate,low,0.253,0.3987,0.525,0.65,0.0759,0.0997,0.1575,0.0975,0.4306,10
3GT8_raw_PKT10,3GT8_raw,97806,allosteric_modulator_candidate,low,0.253,0.3987,0.525,0.65,0.0759,0.0997,0.1575,0.0975,0.4306,11
3GT8_raw_PKT10,3GT8_raw,VAX-C12_0,allosteric_modulator_candidate,low,0.253,0.3987,0.525,0.65,0.0759,0.0997,0.1575,0.0975,0.4306,12
EGFR_170-200_PKT17,EGFR_170-200,173940,interface_rim_modulator_candidate,medium,0.3386,0.1328,0.6591,0.65,0.1016,0.0332,0.1977,0.0975,0.43,13
EGFR_170-200_PKT17,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3386,0.1328,0.6591,0.65,0.1016,0.0332,0.1977,0.0975,0.43,14
EGFR_170-200_PKT06,EGFR_170-200,173940,interface_rim_modulator_candidate,medium,0.3102,0.1526,0.6444,0.65,0.0931,0.0382,0.1933,0.0975,0.4221,15
EGFR_170-200_PKT06,EGFR_170-200,97806,interface_rim_modulator_candidate,medium,0.3102,0.1526,0.6444,0.65,0.0931,0.0382,0.1933,0.0975,0.4221,16
EGFR_170-200_PKT06,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3102,0.1526,0.6444,0.65,0.0931,0.0382,0.1933,0.0975,0.4221,17
EGFR_160-185_PKT16,EGFR_160-185,173940,interface_rim_modulator_candidate,medium,0.3102,0.1409,0.6444,0.65,0.0931,0.0352,0.1933,0.0975,0.4191,18
EGFR_160-185_PKT16,EGFR_160-185,97806,interface_rim_modulator_candidate,medium,0.3102,0.1409,0.6444,0.65,0.0931,0.0352,0.1933,0.0975,0.4191,19
EGFR_160-185_PKT16,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3102,0.1409,0.6444,0.65,0.0931,0.0352,0.1933,0.0975,0.4191,20
3GT8_raw_PKT05,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.3062,0.1346,0.6444,0.65,0.0919,0.0336,0.1933,0.0975,0.4163,21
3GT8_raw_PKT05,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.3062,0.1346,0.6444,0.65,0.0919,0.0336,0.1933,0.0975,0.4163,22
3GT8_raw_PKT05,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3062,0.1346,0.6444,0.65,0.0919,0.0336,0.1933,0.0975,0.4163,23
3GT8_raw_PKT11,3GT8_raw,173940,interface_rim_modulator_candidate,medium,0.3062,0.1184,0.6444,0.65,0.0919,0.0296,0.1933,0.0975,0.4123,24
3GT8_raw_PKT11,3GT8_raw,97806,interface_rim_modulator_candidate,medium,0.3062,0.1184,0.6444,0.65,0.0919,0.0296,0.1933,0.0975,0.4123,25
3GT8_raw_PKT11,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,medium,0.3062,0.1184,0.6444,0.65,0.0919,0.0296,0.1933,0.0975,0.4123,26
3GT8_raw_PKT01,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.2798,0.1568,0.6297,0.65,0.0839,0.0392,0.1889,0.0975,0.4095,27
3GT8_raw_PKT01,3GT8_raw,97806,interface_rim_modulator_candidate,low,0.2798,0.1568,0.6297,0.65,0.0839,0.0392,0.1889,0.0975,0.4095,28
