rank,pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,perturbation_score,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,pose_support_count,best_affinity_kcal,state_class,n_states_matched,classification_basis
1,3GT8_raw_PKT07,3GT8_raw,173940,interface_rim_modulator_candidate,low,0.5412,0.2798,0.6835,0.6297,0.65,rim_candidate,1,0.067,tier_1,strong,60,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
2,3GT8_raw_PKT07,3GT8_raw,97806,interface_rim_modulator_candidate,low,0.5412,0.2798,0.6835,0.6297,0.65,rim_candidate,1,0.067,tier_1,strong,60,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
3,3GT8_raw_PKT07,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,low,0.5412,0.2798,0.6835,0.6297,0.65,rim_candidate,1,0.067,tier_1,strong,60,,state_robust_pocket,3,rim_relationship; overlap=1; ligand_support=strong
4,EGFR_170-200_PKT34,EGFR_170-200,173940,allosteric_modulator_candidate,medium,0.4921,0.253,0.6448,0.525,0.65,allosteric_candidate,0,0.000,tier_1,strong,60,,state_shifted_pocket,3,allosteric_relationship; tier=tier_1; ligand_support=strong
5,EGFR_170-200_PKT34,EGFR_170-200,97806,allosteric_modulator_candidate,medium,0.4921,0.253,0.6448,0.525,0.65,allosteric_candidate,0,0.000,tier_1,strong,59,,state_shifted_pocket,3,allosteric_relationship; tier=tier_1; ligand_support=strong
6,EGFR_170-200_PKT34,EGFR_170-200,VAX-C12_0,allosteric_modulator_candidate,medium,0.4921,0.253,0.6448,0.525,0.65,allosteric_candidate,0,0.000,tier_1,strong,60,,state_shifted_pocket,3,allosteric_relationship; tier=tier_1; ligand_support=strong
7,EGFR_160-185_PKT02,EGFR_160-185,173940,interface_rim_modulator_candidate,medium,0.4327,0.3102,0.1952,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=2; ligand_support=strong
8,EGFR_160-185_PKT02,EGFR_160-185,97806,interface_rim_modulator_candidate,medium,0.4327,0.3102,0.1952,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=2; ligand_support=strong
9,EGFR_160-185_PKT02,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,medium,0.4327,0.3102,0.1952,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,10,,state_shifted_pocket,3,rim_relationship; overlap=2; ligand_support=strong
10,3GT8_raw_PKT10,3GT8_raw,173940,allosteric_modulator_candidate,low,0.4306,0.253,0.3987,0.525,0.65,allosteric_candidate,0,0.000,tier_2,strong,10,,state_robust_pocket,3,allosteric_relationship; tier=tier_2; ligand_support=strong
11,3GT8_raw_PKT10,3GT8_raw,97806,allosteric_modulator_candidate,low,0.4306,0.253,0.3987,0.525,0.65,allosteric_candidate,0,0.000,tier_2,strong,10,,state_robust_pocket,3,allosteric_relationship; tier=tier_2; ligand_support=strong
