rank,pocket_id,receptor_id,ligand_id,mechanistic_class,perturbation_score,adjusted_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,overall_druggability_tier,ligand_support_strength,state_class,accessibility_label,state_caveat
1,3GT8_raw_PKT07,3GT8_raw,173940,interface_rim_modulator_candidate,0.5412,low,0.2798,0.6835,0.6297,0.65,rim_candidate,1,tier_1,strong,state_robust_pocket,always_accessible,
2,3GT8_raw_PKT07,3GT8_raw,97806,interface_rim_modulator_candidate,0.5412,low,0.2798,0.6835,0.6297,0.65,rim_candidate,1,tier_1,strong,state_robust_pocket,always_accessible,
3,3GT8_raw_PKT07,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.5412,low,0.2798,0.6835,0.6297,0.65,rim_candidate,1,tier_1,strong,state_robust_pocket,always_accessible,
4,EGFR_170-200_PKT34,EGFR_170-200,173940,allosteric_modulator_candidate,0.4921,medium,0.253,0.6448,0.525,0.65,allosteric_candidate,0,tier_1,strong,state_shifted_pocket,always_accessible,
5,EGFR_170-200_PKT34,EGFR_170-200,97806,allosteric_modulator_candidate,0.4921,medium,0.253,0.6448,0.525,0.65,allosteric_candidate,0,tier_1,strong,state_shifted_pocket,always_accessible,
6,EGFR_170-200_PKT34,EGFR_170-200,VAX-C12_0,allosteric_modulator_candidate,0.4921,medium,0.253,0.6448,0.525,0.65,allosteric_candidate,0,tier_1,strong,state_shifted_pocket,always_accessible,
7,EGFR_160-185_PKT02,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4327,medium,0.3102,0.1952,0.6444,0.65,rim_candidate,2,tier_3,strong,state_shifted_pocket,always_accessible,
8,EGFR_160-185_PKT02,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4327,medium,0.3102,0.1952,0.6444,0.65,rim_candidate,2,tier_3,strong,state_shifted_pocket,always_accessible,
9,EGFR_160-185_PKT02,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4327,medium,0.3102,0.1952,0.6444,0.65,rim_candidate,2,tier_3,strong,state_shifted_pocket,always_accessible,
10,3GT8_raw_PKT10,3GT8_raw,173940,allosteric_modulator_candidate,0.4306,low,0.253,0.3987,0.525,0.65,allosteric_candidate,0,tier_2,strong,state_robust_pocket,always_accessible,
11,3GT8_raw_PKT10,3GT8_raw,97806,allosteric_modulator_candidate,0.4306,low,0.253,0.3987,0.525,0.65,allosteric_candidate,0,tier_2,strong,state_robust_pocket,always_accessible,
12,3GT8_raw_PKT10,3GT8_raw,VAX-C12_0,allosteric_modulator_candidate,0.4306,low,0.253,0.3987,0.525,0.65,allosteric_candidate,0,tier_2,strong,state_robust_pocket,always_accessible,
13,EGFR_170-200_PKT17,EGFR_170-200,173940,interface_rim_modulator_candidate,0.43,medium,0.3386,0.1328,0.6591,0.65,rim_candidate,3,tier_3,strong,state_shifted_pocket,always_accessible,
14,EGFR_170-200_PKT17,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.43,medium,0.3386,0.1328,0.6591,0.65,rim_candidate,3,tier_3,strong,state_shifted_pocket,always_accessible,
15,EGFR_170-200_PKT06,EGFR_170-200,173940,interface_rim_modulator_candidate,0.4221,medium,0.3102,0.1526,0.6444,0.65,rim_candidate,2,tier_3,strong,state_shifted_pocket,always_accessible,
16,EGFR_170-200_PKT06,EGFR_170-200,97806,interface_rim_modulator_candidate,0.4221,medium,0.3102,0.1526,0.6444,0.65,rim_candidate,2,tier_3,strong,state_shifted_pocket,always_accessible,
17,EGFR_170-200_PKT06,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.4221,medium,0.3102,0.1526,0.6444,0.65,rim_candidate,2,tier_3,strong,state_shifted_pocket,always_accessible,
18,EGFR_160-185_PKT16,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4191,medium,0.3102,0.1409,0.6444,0.65,rim_candidate,2,tier_3,strong,state_shifted_pocket,always_accessible,
