receptor_id,candidate_pocket_id,ligand_id,pose_support_count,best_affinity_kcal,mean_affinity_kcal,n_seeds_completed,docking_mode,contact_residues,n_contact_residues,relationship_class,overall_druggability_tier,druggability_confidence,docking_priority,state_class,n_states_matched,pocket_status,diversity_verdict,coverage_fraction,normalized_entropy,ligand_support_strength,total_poses_in_pocket,fraction_of_receptor_poses
3GT8_raw,3GT8_raw_PKT01,173940,10,-8.26,-7.88,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,10,0.065
3GT8_raw,3GT8_raw_PKT02,173940,9,-7.09,-6.65,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,9,0.058
3GT8_raw,3GT8_raw_PKT03,173940,5,-7.47,-7.27,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,5,0.032
3GT8_raw,3GT8_raw_PKT05,173940,10,-8.55,-8.34,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,10,0.065
3GT8_raw,3GT8_raw_PKT07,173940,60,-9.48,-8.57,3,focused,,0,rim_candidate,tier_1,high,primary,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,60,0.390
3GT8_raw,3GT8_raw_PKT08,173940,10,-7.10,-6.01,1,focused,,0,rim_candidate,tier_3,low,secondary,uncertain_alignment,2,open,well_distributed,1.000,0.849,strong,10,0.065
3GT8_raw,3GT8_raw_PKT10,173940,10,-8.30,-7.77,1,focused,,0,allosteric_candidate,tier_2,medium,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,10,0.065
3GT8_raw,3GT8_raw_PKT11,173940,10,-8.10,-7.90,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,10,0.065
3GT8_raw,3GT8_raw_PKT14,173940,10,-7.10,-6.41,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,10,0.065
3GT8_raw,3GT8_raw_PKT16,173940,5,-6.81,-6.58,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_robust_pocket,3,open,well_distributed,1.000,0.849,strong,5,0.032
3GT8_raw,3GT8_raw_PKT20,173940,10,-6.33,-6.11,1,focused,,0,rim_candidate,tier_3,low,secondary,state_specific_pocket,1,open,well_distributed,1.000,0.849,strong,10,0.065
3GT8_raw,3GT8_raw_PKT22,173940,5,-8.54,-8.45,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,uncertain_alignment,2,open,well_distributed,1.000,0.849,strong,5,0.032
3GT8_raw,3GT8_raw_PKT01,97806,10,-7.51,-7.17,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT02,97806,10,-6.58,-5.87,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT03,97806,5,-7.04,-6.54,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,5,0.032
3GT8_raw,3GT8_raw_PKT05,97806,10,-7.45,-6.89,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT07,97806,60,-8.41,-7.66,3,focused,,0,rim_candidate,tier_1,high,primary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,60,0.387
3GT8_raw,3GT8_raw_PKT08,97806,10,-5.60,-5.42,1,focused,,0,rim_candidate,tier_3,low,secondary,uncertain_alignment,2,open,well_distributed,1.000,0.851,moderate,10,0.065
3GT8_raw,3GT8_raw_PKT10,97806,10,-7.38,-6.93,1,focused,,0,allosteric_candidate,tier_2,medium,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT11,97806,10,-7.44,-7.03,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT14,97806,10,-6.02,-5.72,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT16,97806,5,-7.02,-6.43,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,5,0.032
3GT8_raw,3GT8_raw_PKT20,97806,10,-5.88,-5.44,1,focused,,0,rim_candidate,tier_3,low,secondary,state_specific_pocket,1,open,well_distributed,1.000,0.851,moderate,10,0.065
3GT8_raw,3GT8_raw_PKT22,97806,5,-6.91,-6.82,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,uncertain_alignment,2,open,well_distributed,1.000,0.851,strong,5,0.032
3GT8_raw,3GT8_raw_PKT01,VAX-C12_0,10,-9.07,-8.44,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT02,VAX-C12_0,10,-6.72,-6.40,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT03,VAX-C12_0,5,-7.90,-7.62,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,5,0.032
3GT8_raw,3GT8_raw_PKT05,VAX-C12_0,10,-8.58,-8.07,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT07,VAX-C12_0,60,-9.46,-8.84,3,focused,,0,rim_candidate,tier_1,high,primary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,60,0.387
3GT8_raw,3GT8_raw_PKT08,VAX-C12_0,10,-5.87,-5.58,1,focused,,0,rim_candidate,tier_3,low,secondary,uncertain_alignment,2,open,well_distributed,1.000,0.851,moderate,10,0.065
3GT8_raw,3GT8_raw_PKT10,VAX-C12_0,10,-8.96,-8.34,1,focused,,0,allosteric_candidate,tier_2,medium,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT11,VAX-C12_0,10,-8.56,-8.04,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT14,VAX-C12_0,10,-6.95,-6.53,1,focused,,0,rim_candidate,tier_3,low,secondary,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT16,VAX-C12_0,5,-8.23,-7.10,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_robust_pocket,3,open,well_distributed,1.000,0.851,strong,5,0.032
3GT8_raw,3GT8_raw_PKT20,VAX-C12_0,10,-7.22,-6.63,1,focused,,0,rim_candidate,tier_3,low,secondary,state_specific_pocket,1,open,well_distributed,1.000,0.851,strong,10,0.065
3GT8_raw,3GT8_raw_PKT22,VAX-C12_0,5,-8.47,-7.90,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,uncertain_alignment,2,open,well_distributed,1.000,0.851,strong,5,0.032
EGFR_160-185,EGFR_160-185_PKT01,173940,5,-7.38,-7.12,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,5,0.031
EGFR_160-185,EGFR_160-185_PKT02,173940,10,-7.38,-6.87,1,focused,,0,rim_candidate,tier_3,low,secondary,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,10,0.063
EGFR_160-185,EGFR_160-185_PKT03,173940,5,-7.35,-7.00,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,5,0.031
EGFR_160-185,EGFR_160-185_PKT04,173940,5,-7.20,-6.66,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,5,0.031
EGFR_160-185,EGFR_160-185_PKT05,173940,5,-7.40,-6.95,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,5,0.031
EGFR_160-185,EGFR_160-185_PKT07,173940,9,-6.87,-6.64,1,focused,,0,rim_candidate,tier_3,low,secondary,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,9,0.057
EGFR_160-185,EGFR_160-185_PKT09,173940,10,-6.18,-5.84,1,focused,,0,rim_candidate,tier_3,low,secondary,uncertain_alignment,2,open,well_distributed,1.000,0.982,strong,10,0.063
EGFR_160-185,EGFR_160-185_PKT11,173940,5,-5.58,-5.39,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_shifted_pocket,3,open,well_distributed,1.000,0.982,moderate,5,0.031
EGFR_160-185,EGFR_160-185_PKT12,173940,10,-7.15,-6.43,1,focused,,0,rim_candidate,tier_3,low,secondary,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,10,0.063
EGFR_160-185,EGFR_160-185_PKT13,173940,5,-8.35,-7.83,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,5,0.031
EGFR_160-185,EGFR_160-185_PKT14,173940,5,-7.17,-7.03,1,focused,,0,allosteric_candidate,tier_3,low,exploratory,state_shifted_pocket,2,open,well_distributed,1.000,0.982,strong,5,0.031
EGFR_160-185,EGFR_160-185_PKT15,173940,10,-7.42,-6.91,1,focused,,0,rim_candidate,tier_3,low,secondary,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,10,0.063
EGFR_160-185,EGFR_160-185_PKT16,173940,10,-6.95,-6.63,1,focused,,0,rim_candidate,tier_3,low,secondary,state_shifted_pocket,3,open,well_distributed,1.000,0.982,strong,10,0.063
