pocket_id,receptor_id,ligand_id,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,hotspot_overlap_fraction,mean_hotspot_confidence,n_robust_hotspots,n_method_agreement_both,overall_druggability_tier,druggability_confidence,best_proposal_score,relationship_class,hotspot_overlap_count,ligand_support_strength,pose_support_count,state_class,n_states_matched,diversity_verdict,coverage_fraction,phase1_loaded,phase2_loaded,phase3_loaded
3GT8_raw_PKT01,3GT8_raw,173940,0.2798,0.1568,0.6297,0.65,0.067,1.706,14,0,tier_3,low,0.0560,rim_candidate,1,strong,10,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT02,3GT8_raw,173940,0.2798,0.1508,0.6197,0.65,0.067,1.706,14,0,tier_3,low,0.0360,rim_candidate,1,strong,9,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT03,3GT8_raw,173940,0.253,0.149,0.475,0.65,0.000,1.706,14,0,tier_3,low,0.0300,allosteric_candidate,0,strong,5,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT05,3GT8_raw,173940,0.3062,0.1346,0.6444,0.65,0.133,1.706,14,0,tier_3,low,-0.0180,rim_candidate,2,strong,10,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT07,3GT8_raw,173940,0.2798,0.6835,0.6297,0.65,0.067,1.706,14,0,tier_1,high,-0.0550,rim_candidate,1,strong,60,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT08,3GT8_raw,173940,0.3062,0.1229,0.6444,0.5667,0.133,1.706,14,0,tier_3,low,-0.0570,rim_candidate,2,strong,10,uncertain_alignment,2,well_distributed,1.000,True,True,True
3GT8_raw_PKT10,3GT8_raw,173940,0.253,0.3987,0.525,0.65,0.000,1.706,14,0,tier_2,medium,-0.0710,allosteric_candidate,0,strong,10,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT11,3GT8_raw,173940,0.3062,0.1184,0.6444,0.65,0.133,1.706,14,0,tier_3,low,-0.0720,rim_candidate,2,strong,10,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT14,3GT8_raw,173940,0.2798,0.1151,0.6297,0.65,0.067,1.706,14,0,tier_3,low,-0.0830,rim_candidate,1,strong,10,state_robust_pocket,3,well_distributed,1.000,True,True,True
3GT8_raw_PKT16,3GT8_raw,173940,0.253,0.1136,0.475,0.65,0.000,1.706,14,0,tier_3,low,-0.0880,allosteric_candidate,0,strong,5,state_robust_pocket,3,well_distributed,1.000,True,True,True
