pocket_id,receptor_id,ligand_id,mechanistic_class,classification_basis,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,state_class,n_states_matched,pose_support_count
3GT8_raw_PKT01,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT02,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1508,0.6197,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,9
3GT8_raw_PKT03,3GT8_raw,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.149,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_robust_pocket,3,5
3GT8_raw_PKT05,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.1346,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT07,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.6835,0.6297,0.65,rim_candidate,1,0.067,tier_1,strong,state_robust_pocket,3,60
3GT8_raw_PKT08,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.1229,0.6444,0.5667,rim_candidate,2,0.133,tier_3,strong,uncertain_alignment,2,10
3GT8_raw_PKT10,3GT8_raw,173940,allosteric_modulator_candidate,allosteric_relationship; tier=tier_2; ligand_support=strong,low,0.253,0.3987,0.525,0.65,allosteric_candidate,0,0.000,tier_2,strong,state_robust_pocket,3,10
3GT8_raw_PKT11,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.1184,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT14,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1151,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT16,3GT8_raw,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1136,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_robust_pocket,3,5
3GT8_raw_PKT20,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.0965,0.6444,0.5333,rim_candidate,2,0.133,tier_3,strong,state_specific_pocket,1,10
3GT8_raw_PKT22,3GT8_raw,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0242,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,uncertain_alignment,2,5
3GT8_raw_PKT01,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT02,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1508,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT03,3GT8_raw,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.149,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_robust_pocket,3,5
3GT8_raw_PKT05,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.1346,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT07,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.6835,0.6297,0.65,rim_candidate,1,0.067,tier_1,strong,state_robust_pocket,3,60
3GT8_raw_PKT08,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=moderate,medium,0.3062,0.1229,0.5644,0.5667,rim_candidate,2,0.133,tier_3,moderate,uncertain_alignment,2,10
3GT8_raw_PKT10,3GT8_raw,97806,allosteric_modulator_candidate,allosteric_relationship; tier=tier_2; ligand_support=strong,low,0.253,0.3987,0.525,0.65,allosteric_candidate,0,0.000,tier_2,strong,state_robust_pocket,3,10
3GT8_raw_PKT11,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.1184,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT14,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1151,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT16,3GT8_raw,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1136,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_robust_pocket,3,5
