rank,pocket_id,receptor_id,ligand_id,mechanistic_class,perturbation_score,state_class,n_states_matched,state_interpretation,accessibility_label,confidence_modifier,state_caveat,classification_confidence,adjusted_confidence,A4_state_robustness,diversity_verdict,coverage_fraction
1,3GT8_raw_PKT07,3GT8_raw,173940,interface_rim_modulator_candidate,0.5412,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
2,3GT8_raw_PKT07,3GT8_raw,97806,interface_rim_modulator_candidate,0.5412,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
3,3GT8_raw_PKT07,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.5412,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
4,EGFR_170-200_PKT34,EGFR_170-200,173940,allosteric_modulator_candidate,0.4921,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
5,EGFR_170-200_PKT34,EGFR_170-200,97806,allosteric_modulator_candidate,0.4921,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
6,EGFR_170-200_PKT34,EGFR_170-200,VAX-C12_0,allosteric_modulator_candidate,0.4921,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
7,EGFR_160-185_PKT02,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4327,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
8,EGFR_160-185_PKT02,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4327,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
9,EGFR_160-185_PKT02,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4327,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
10,3GT8_raw_PKT10,3GT8_raw,173940,allosteric_modulator_candidate,0.4306,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
11,3GT8_raw_PKT10,3GT8_raw,97806,allosteric_modulator_candidate,0.4306,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
12,3GT8_raw_PKT10,3GT8_raw,VAX-C12_0,allosteric_modulator_candidate,0.4306,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
13,EGFR_170-200_PKT17,EGFR_170-200,173940,interface_rim_modulator_candidate,0.43,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
14,EGFR_170-200_PKT17,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.43,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
15,EGFR_170-200_PKT06,EGFR_170-200,173940,interface_rim_modulator_candidate,0.4221,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
