receptor_id,pocket_id,relationship_class,best_proposal_score,best_druggability_score,normalized_proposal_score,normalized_druggability_score,druggability_confidence,n_sources,sources,multi_source_support,mean_volume_A3,n_residues,ftmap_hotspot_count,ftmap_overlap_residues,hotspot_support_available,overall_druggability_tier
3GT8_raw,3GT8_raw_PKT01,rim_candidate,0.0560,0.0120,1.0000,0.0115,low,1,fpocket,false,710.6,20,,,false,tier_3
3GT8_raw,3GT8_raw_PKT02,rim_candidate,0.0360,0.0270,0.9548,0.0271,low,1,fpocket,false,422.9,15,,,false,tier_3
3GT8_raw,3GT8_raw_PKT03,allosteric_candidate,0.0300,0.0020,0.9412,0.0010,low,1,fpocket,false,451.2,13,,,false,tier_3
3GT8_raw,3GT8_raw_PKT04,low_relevance_candidate,0.0210,0.0040,0.9208,0.0031,low,1,fpocket,false,150.5,7,,,false,tier_3
3GT8_raw,3GT8_raw_PKT05,rim_candidate,-0.0180,0.0390,0.8326,0.0396,low,1,fpocket,false,465.6,14,,,false,tier_3
3GT8_raw,3GT8_raw_PKT06,low_relevance_candidate,-0.0250,,0.8167,,low,1,fpocket,false,216.3,6,,,false,tier_3
3GT8_raw,3GT8_raw_PKT07,rim_candidate,-0.0550,0.9600,0.7489,1.0000,high,1,fpocket,false,1593.2,42,,,false,tier_1
3GT8_raw,3GT8_raw_PKT08,rim_candidate,-0.0570,,0.7443,,low,1,fpocket,false,193.9,8,,,false,tier_3
3GT8_raw,3GT8_raw_PKT09,low_relevance_candidate,-0.0640,0.0010,0.7285,0.0000,low,1,fpocket,false,373.2,8,,,false,tier_3
3GT8_raw,3GT8_raw_PKT10,allosteric_candidate,-0.0710,0.2550,0.7127,0.2649,medium,1,fpocket,false,319.1,12,,,false,tier_2
3GT8_raw,3GT8_raw_PKT11,rim_candidate,-0.0720,0.0170,0.7104,0.0167,low,1,fpocket,false,499.9,21,,,false,tier_3
3GT8_raw,3GT8_raw_PKT12,low_relevance_candidate,-0.0760,0.0050,0.7014,0.0042,low,1,fpocket,false,349.5,5,,,false,tier_3
3GT8_raw,3GT8_raw_PKT13,low_relevance_candidate,-0.0770,,0.6991,,low,1,fpocket,false,229.6,6,,,false,tier_3
3GT8_raw,3GT8_raw_PKT14,rim_candidate,-0.0830,0.0010,0.6855,0.0000,low,1,fpocket,false,296.5,10,,,false,tier_3
3GT8_raw,3GT8_raw_PKT15,low_relevance_candidate,-0.0830,,0.6855,,low,1,fpocket,false,114.8,5,,,false,tier_3
3GT8_raw,3GT8_raw_PKT16,allosteric_candidate,-0.0880,,0.6742,,low,1,fpocket,false,252.7,7,,,false,tier_3
3GT8_raw,3GT8_raw_PKT17,low_relevance_candidate,-0.1050,,0.6357,,low,1,fpocket,false,255.7,6,,,false,tier_3
3GT8_raw,3GT8_raw_PKT18,low_relevance_candidate,-0.1120,0.0020,0.6199,0.0010,low,1,fpocket,false,290.5,4,,,false,tier_3
3GT8_raw,3GT8_raw_PKT19,low_relevance_candidate,-0.1280,0.0010,0.5837,0.0000,low,1,fpocket,false,306.5,8,,,false,tier_3
3GT8_raw,3GT8_raw_PKT20,rim_candidate,-0.1450,0.0010,0.5452,0.0000,low,1,fpocket,false,330.4,7,,,false,tier_3
3GT8_raw,3GT8_raw_PKT21,low_relevance_candidate,-0.1570,0.0010,0.5181,0.0000,low,1,fpocket,false,161.7,6,,,false,tier_3
3GT8_raw,3GT8_raw_PKT22,allosteric_candidate,-0.3860,0.0030,0.0000,0.0021,low,1,fpocket,false,639.1,11,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT01,allosteric_candidate,0.2150,0.1240,1.0000,0.7785,low,1,fpocket,false,360.5,20,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT02,rim_candidate,0.1840,0.0490,0.9223,0.3038,low,1,fpocket,false,1034.0,40,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT03,allosteric_candidate,0.1340,0.0820,0.7970,0.5127,low,1,fpocket,false,601.6,22,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT04,allosteric_candidate,0.0910,0.0240,0.6892,0.1456,low,1,fpocket,false,427.3,25,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT05,allosteric_candidate,0.0700,0.0020,0.6366,0.0063,low,1,fpocket,false,267.1,19,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT06,low_relevance_candidate,0.0450,0.0010,0.5739,0.0000,low,1,fpocket,false,357.6,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT07,rim_candidate,0.0440,,0.5714,,low,1,fpocket,false,324.5,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT08,low_relevance_candidate,0.0400,0.0010,0.5614,0.0000,low,1,fpocket,false,67.9,7,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT09,rim_candidate,0.0380,,0.5564,,low,1,fpocket,false,225.9,10,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT10,low_relevance_candidate,0.0360,0.0030,0.5514,0.0127,low,1,fpocket,false,223.6,6,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT11,allosteric_candidate,0.0130,,0.4937,,low,1,fpocket,false,119.7,9,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT12,rim_candidate,0.0110,,0.4887,,low,1,fpocket,false,271.8,7,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT13,allosteric_candidate,0.0070,0.0450,0.4787,0.2785,low,1,fpocket,false,468.0,37,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT14,allosteric_candidate,0.0040,0.0030,0.4712,0.0127,low,1,fpocket,false,283.2,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT15,rim_candidate,0.0040,0.0050,0.4712,0.0253,low,1,fpocket,false,267.4,11,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT16,rim_candidate,0.0030,,0.4687,,low,1,fpocket,false,224.8,9,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT17,low_relevance_candidate,-0.0110,0.0010,0.4336,0.0000,low,1,fpocket,false,229.0,10,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT18,low_relevance_candidate,-0.0130,0.0020,0.4286,0.0063,low,1,fpocket,false,365.6,6,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT19,allosteric_candidate,-0.0160,0.0420,0.4211,0.2595,low,1,fpocket,false,751.2,26,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT20,low_relevance_candidate,-0.0220,,0.4060,,low,1,fpocket,false,271.3,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT21,low_relevance_candidate,-0.0230,,0.4035,,low,1,fpocket,false,279.1,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT22,low_relevance_candidate,-0.0300,,0.3860,,low,1,fpocket,false,318.0,10,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT23,rim_candidate,-0.0370,0.0010,0.3684,0.0000,low,1,fpocket,false,940.3,17,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT24,low_relevance_candidate,-0.0390,0.0040,0.3634,0.0190,low,1,fpocket,false,339.5,9,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT25,low_relevance_candidate,-0.0400,0.0010,0.3609,0.0000,low,1,fpocket,false,501.0,11,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT26,low_relevance_candidate,-0.0580,0.0010,0.3158,0.0000,low,1,fpocket,false,314.3,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT27,allosteric_candidate,-0.0640,0.1590,0.3008,1.0000,low,1,fpocket,false,926.5,29,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT28,low_relevance_candidate,-0.0690,,0.2882,,low,1,fpocket,false,377.8,10,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT29,allosteric_candidate,-0.0780,,0.2657,,low,1,fpocket,false,233.3,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT30,allosteric_candidate,-0.0870,0.0020,0.2431,0.0063,low,1,fpocket,false,386.7,17,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT31,low_relevance_candidate,-0.0890,0.0060,0.2381,0.0316,low,1,fpocket,false,381.4,9,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT32,low_relevance_candidate,-0.0900,,0.2356,,low,1,fpocket,false,210.9,5,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT33,low_relevance_candidate,-0.0940,0.0040,0.2256,0.0190,low,1,fpocket,false,176.6,7,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT34,rim_candidate,-0.1140,,0.1754,,low,1,fpocket,false,257.5,8,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT35,low_relevance_candidate,-0.1140,,0.1754,,low,1,fpocket,false,434.2,9,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT36,low_relevance_candidate,-0.1140,,0.1754,,low,1,fpocket,false,232.4,5,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT37,allosteric_candidate,-0.1190,0.0090,0.1629,0.0506,low,1,fpocket,false,512.4,18,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT38,allosteric_candidate,-0.1210,0.0010,0.1579,0.0000,low,1,fpocket,false,254.3,6,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT39,allosteric_candidate,-0.1210,0.0010,0.1579,0.0000,low,1,fpocket,false,314.4,10,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT40,allosteric_candidate,-0.1540,,0.0752,,low,1,fpocket,false,557.4,11,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT41,low_relevance_candidate,-0.1570,,0.0677,,low,1,fpocket,false,281.1,7,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT42,low_relevance_candidate,-0.1720,,0.0301,,low,1,fpocket,false,172.5,7,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT43,allosteric_candidate,-0.1740,,0.0251,,low,1,fpocket,false,486.2,9,,,false,tier_3
EGFR_160-185,EGFR_160-185_PKT44,low_relevance_candidate,-0.1840,0.1040,0.0000,0.6519,low,1,fpocket,false,1127.0,28,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT01,allosteric_candidate,0.2610,0.0360,1.0000,0.0374,low,1,fpocket,false,220.4,24,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT02,low_relevance_candidate,0.1070,,0.7354,,low,1,fpocket,false,85.4,9,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT03,low_relevance_candidate,0.0770,0.0160,0.6838,0.0160,low,1,fpocket,false,227.2,15,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT04,allosteric_candidate,0.0690,0.0100,0.6701,0.0096,low,1,fpocket,false,142.9,10,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT05,allosteric_candidate,0.0550,0.0010,0.6460,0.0000,low,1,fpocket,false,314.9,15,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT06,rim_candidate,0.0420,0.0500,0.6237,0.0524,low,1,fpocket,false,325.5,26,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT07,low_relevance_candidate,0.0320,0.0210,0.6065,0.0214,low,1,fpocket,false,424.7,13,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT08,low_relevance_candidate,0.0190,0.0140,0.5842,0.0139,low,1,fpocket,false,387.2,10,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT09,low_relevance_candidate,0.0150,0.0020,0.5773,0.0011,low,1,fpocket,false,840.3,35,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT10,rim_candidate,0.0060,0.0010,0.5619,0.0000,low,1,fpocket,false,441.6,12,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT11,low_relevance_candidate,-0.0010,,0.5498,,low,1,fpocket,false,210.4,8,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT12,rim_candidate,-0.0030,0.0570,0.5464,0.0599,low,1,fpocket,false,421.3,27,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT13,allosteric_candidate,-0.0030,0.0010,0.5464,0.0000,low,1,fpocket,false,287.8,11,,,false,tier_3
EGFR_170-200,EGFR_170-200_PKT14,low_relevance_candidate,-0.0110,0.0010,0.5326,0.0000,low,1,fpocket,false,250.3,9,,,false,tier_3
